base,offset,p,q,value,flip_to,flips_page,flips_row
0x2222000,1251,0x2200000,0x2244000,0xef,0,3,3
0x2222000,2962,0x2200000,0x2244000,0xbf,0,3,3
0x2222000,3963,0x2200000,0x2244000,0xbf,0,3,3
0x2222000,3963,0x2200000,0x2245000,0xbf,0,1,1
0x2222000,2962,0x2201000,0x2245000,0xbf,0,2,2
0x2222000,3963,0x2201000,0x2245000,0xbf,0,2,2
0x2220000,2648,0x2203000,0x2247000,0x4,1,1,2
0x2221000,2710,0x2203000,0x2247000,0x1,1,1,2
0x2227000,342,0x2204000,0x2240000,0xbf,0,1,1
0x2226000,3200,0x2205000,0x2240000,0xef,0,1,4
0x2227000,342,0x2205000,0x2240000,0xbf,0,3,4
0x2227000,1088,0x2205000,0x2240000,0xfd,0,3,4
0x2227000,1384,0x2205000,0x2240000,0xef,0,3,4
0x2232000,3794,0x2211000,0x2255000,0xbf,0,1,2
0x2233000,2078,0x2211000,0x2255000,0xef,0,1,2
0x2230000,32,0x2212000,0x2256000,0xbf,0,1,4
0x2231000,1392,0x2212000,0x2256000,0xf7,0,2,4
0x2231000,2056,0x2212000,0x2256000,0xf7,0,2,4
0x2230000,3009,0x2212000,0x2256000,0x4,1,1,4
0x2230000,3009,0x2212000,0x2257000,0x4,1,1,1
0x2230000,32,0x2213000,0x2256000,0xbf,0,1,3
0x2231000,1392,0x2213000,0x2256000,0xf7,0,2,3
0x2231000,2056,0x2213000,0x2256000,0xf7,0,2,3
0x2236000,4008,0x2215000,0x2250000,0xef,0,1,1
0x2236000,3731,0x2215000,0x2251000,0xfd,0,2,4
0x2236000,4008,0x2215000,0x2251000,0xef,0,2,4
0x2237000,1147,0x2215000,0x2251000,0xf7,0,1,4
0x2236000,3771,0x2215000,0x2251000,0x1,1,1,4
0x223a000,1562,0x2219000,0x225d000,0xfb,0,1,1
0x2239000,2358,0x221b000,0x225f000,0xdf,0,1,1
0x223f000,3178,0x221d000,0x2258000,0x2,1,1,1
0x223c000,3857,0x221f000,0x225a000,0x2,1,1,1
0x223c000,3538,0x221f000,0x225b000,0xdf,0,1,1
0x22a4000,3656,0x2287000,0x22c3000,0xdf,0,1,1
0x22aa000,2233,0x2289000,0x22cc000,0x4,1,1,1
0x22a8000,3042,0x228a000,0x22cf000,0xfd,0,1,1
0x22a8000,3042,0x228b000,0x22ce000,0xfd,0,1,1
0x22ae000,1776,0x228d000,0x22c8000,0x1,1,1,2
0x22af000,2488,0x228d000,0x22c8000,0x1,1,1,2
0x22be000,482,0x229c000,0x22d8000,0xef,0,1,1
0x22be000,482,0x229c000,0x22d9000,0xef,0,1,1
0x22bd000,3048,0x229e000,0x22da000,0xa0,1,1,1
0x22c8000,1992,0x22af000,0x22ea000,0xfb,0,1,1
0x22c8000,1992,0x22af000,0x22eb000,0xfb,0,1,1
0x22e9000,1785,0x22ca000,0x2317000,0xef,0,3,3
0x22e9000,1984,0x22ca000,0x2317000,0xfd,0,3,3
0x22e9000,3521,0x22ca000,0x2317000,0xbf,0,3,3
0x22e9000,1984,0x22cb000,0x2316000,0xfd,0,1,1
0x22e8000,3920,0x22cb000,0x2317000,0xf7,0,1,4
0x22e9000,1785,0x22cb000,0x2317000,0xef,0,3,4
0x22e9000,1984,0x22cb000,0x2317000,0xfd,0,3,4
0x22e9000,3521,0x22cb000,0x2317000,0xbf,0,3,4
0x2317000,2483,0x22e9000,0x2334000,0x20,1,1,1
0x2304000,555,0x22fa000,0x2326000,0x10,1,4,4
0x2304000,1296,0x22fa000,0x2326000,0x2,1,4,4
0x2304000,2795,0x22fa000,0x2326000,0x40,1,4,4
0x2304000,2897,0x22fa000,0x2326000,0x2,1,4,4
0x2304000,4018,0x22fa000,0x2327000,0x7f,0,1,1
0x2304000,4018,0x22fb000,0x2327000,0x7f,0,1,1
0x2303000,3089,0x22fc000,0x2321000,0xfe,0,1,1
0x2303000,2762,0x22fd000,0x2320000,0xfb,0,2,2
0x2303000,3089,0x22fd000,0x2320000,0xfe,0,2,2
0x2302000,1883,0x22fd000,0x2321000,0xfb,0,1,3
0x2303000,2762,0x22fd000,0x2321000,0xfb,0,2,3
0x2303000,3089,0x22fd000,0x2321000,0xfe,0,2,3
0x2322000,3530,0x2300000,0x2344000,0xef,0,1,1
0x2323000,3872,0x2301000,0x2345000,0x4,1,1,1
0x2321000,688,0x2302000,0x2346000,0xfd,0,2,2
0x2321000,3146,0x2302000,0x2346000,0xbf,0,2,2
0x2325000,1208,0x2307000,0x2343000,0xf7,0,1,1
0x2331000,1200,0x2313000,0x2356000,0xdf,0,2,2
0x2331000,2514,0x2313000,0x2356000,0xef,0,2,2
0x2331000,1200,0x2313000,0x2357000,0xdf,0,1,1
0x2336000,210,0x2314000,0x2350000,0xf7,0,1,1
0x2335000,2306,0x2316000,0x2353000,0xef,0,1,1
0x2422000,2816,0x2400000,0x2444000,0xf7,0,1,1
0x2422000,2816,0x2400000,0x2445000,0xf7,0,1,1
0x2423000,1579,0x2401000,0x2444000,0xef,0,1,1
0x2422000,2816,0x2401000,0x2445000,0xf7,0,1,1
0x2421000,3640,0x2402000,0x2446000,0xfd,0,1,1
0x2421000,3640,0x2402000,0x2447000,0xfd,0,1,1
0x2435000,3704,0x2416000,0x2453000,0x80,1,1,1
0x2443000,3752,0x2425000,0x2461000,0xfb,0,1,1
0x244a000,3410,0x242c000,0x2469000,0xfd,0,1,1
0x244a000,3410,0x242d000,0x2468000,0xfd,0,1,1
0x2455000,3410,0x2432000,0x2477000,0xdf,0,1,1
0x2463000,1715,0x2440000,0x248c000,0xef,0,1,1
0x2463000,224,0x2440000,0x248d000,0xf7,0,1,1
0x2463000,1715,0x2441000,0x248c000,0xef,0,1,1
0x2461000,272,0x2442000,0x248e000,0x1,1,1,1
0x2464000,3448,0x2447000,0x248b000,0x4,1,1,2
0x2465000,3235,0x2447000,0x248b000,0x1,1,1,2
0x246a000,2186,0x2448000,0x2484000,0xfe,0,1,1
0x246a000,2186,0x2448000,0x2485000,0xfe,0,1,1
0x2477000,120,0x2454000,0x2498000,0x7f,0,1,1
0x2477000,794,0x2454000,0x2499000,0xbf,0,1,1
0x2477000,794,0x2455000,0x2498000,0xbf,0,1,1
0x2477000,120,0x2455000,0x2499000,0x7f,0,2,2
0x2477000,794,0x2455000,0x2499000,0xbf,0,2,2
0x248f000,153,0x2460000,0x24ac000,0x8,1,1,1
0x248e000,2232,0x2460000,0x24ad000,0x7f,0,1,1
0x248e000,2232,0x2461000,0x24ac000,0x7f,0,1,1
0x248e000,2232,0x2461000,0x24ad000,0x7f,0,1,1
0x248d000,394,0x2462000,0x24af000,0xfe,0,1,1
0x248b000,2379,0x2464000,0x24a9000,0x40,1,1,1
0x249e000,2657,0x2471000,0x24bc000,0xfe,0,1,1
0x249e000,1632,0x2471000,0x24bd000,0xfe,0,2,4
0x249e000,2657,0x2471000,0x24bd000,0xfe,0,2,4
0x249f000,720,0x2471000,0x24bd000,0xdf,0,2,4
0x249f000,1072,0x2471000,0x24bd000,0x7f,0,2,4
0x2499000,1816,0x2476000,0x24bb000,0x2,1,2,2
0x2499000,3816,0x2476000,0x24bb000,0x2,1,2,2
0x2497000,954,0x2478000,0x24b5000,0xef,0,2,2
0x2497000,2354,0x2478000,0x24b5000,0xf7,0,2,2
0x2494000,2114,0x247a000,0x24b7000,0x80,1,2,2
0x2494000,3112,0x247a000,0x24b7000,0x1,1,2,2
0x24aa000,257,0x2489000,0x24cd000,0xef,0,1,1
0x24a9000,769,0x248a000,0x24ce000,0xbf,0,1,1
0x24bb000,2722,0x2498000,0x24dc000,0xef,0,1,1
0x24bb000,2722,0x2499000,0x24dc000,0xef,0,3,3
0x24bb000,2943,0x2499000,0x24dc000,0xf7,0,3,3
0x24bb000,3672,0x2499000,0x24dc000,0xf7,0,3,3
0x24ba000,2739,0x2499000,0x24dd000,0xef,0,1,2
0x24bb000,2722,0x2499000,0x24dd000,0xef,0,1,2
0x24b8000,672,0x249a000,0x24de000,0xbf,0,3,3
0x24b8000,1372,0x249a000,0x24de000,0xf7,0,3,3
0x24b8000,3514,0x249a000,0x24de000,0xfd,0,3,3
0x24b8000,3514,0x249a000,0x24df000,0xfd,0,1,1
0x24b8000,672,0x249b000,0x24de000,0xbf,0,2,2
0x24b8000,1372,0x249b000,0x24de000,0xf7,0,2,2
0x24b8000,672,0x249b000,0x24df000,0xbf,0,2,2
0x24b8000,3514,0x249b000,0x24df000,0xfd,0,2,2
0x24be000,4050,0x249c000,0x24d9000,0xfd,0,1,1
0x24c6000,2650,0x24a0000,0x24e4000,0xfb,0,1,1
0x24cd000,3010,0x24ab000,0x24ee000,0x8,1,1,1
0x24cd000,1545,0x24ab000,0x24ef000,0xdf,0,2,2
0x24cd000,2785,0x24ab000,0x24ef000,0xfb,0,2,2
0x24fe000,392,0x24dc000,0x2500000,0x20,1,1,1
0x24ff000,2448,0x24dc000,0x2501000,0xef,0,1,1
0x24ff000,3337,0x24dd000,0x2501000,0x1,1,1,1
0x2516000,2400,0x24e9000,0x2535000,0x10,1,1,1
0x2514000,1424,0x24ea000,0x2536000,0xdf,0,1,1
0x2504000,1760,0x24fb000,0x2527000,0xfe,0,1,2
0x2505000,2464,0x24fb000,0x2527000,0xfb,0,1,2
0x2502000,1568,0x24fc000,0x2520000,0xdf,0,1,1
0x2502000,1568,0x24fc000,0x2521000,0xdf,0,1,1
0x2523000,2152,0x2500000,0x2544000,0xfd,0,1,1
0x2523000,1003,0x2500000,0x2545000,0xf7,0,2,3
0x2523000,2152,0x2500000,0x2545000,0xfd,0,2,3
0x2523000,2683,0x2500000,0x2545000,0x4,1,1,3
0x2523000,2152,0x2501000,0x2544000,0xfd,0,1,1
0x2523000,2152,0x2501000,0x2545000,0xfd,0,1,1
0x2525000,3876,0x2506000,0x2543000,0x4,1,1,1
0x2525000,2850,0x2507000,0x2543000,0xbf,0,1,1
0x2542000,3083,0x2524000,0x2560000,0xfe,0,1,1
0x2543000,3246,0x2524000,0x2561000,0x7f,0,1,1
0x2543000,3246,0x2525000,0x2560000,0x7f,0,1,1
0x2542000,3083,0x2525000,0x2561000,0xfe,0,1,2
0x2543000,3246,0x2525000,0x2561000,0x7f,0,1,2
0x2541000,376,0x2526000,0x2562000,0xfb,0,2,2
0x2541000,1336,0x2526000,0x2562000,0xfb,0,2,2
0x2541000,376,0x2526000,0x2563000,0xfb,0,3,3
0x2541000,1336,0x2526000,0x2563000,0xfb,0,3,3
0x2541000,3552,0x2526000,0x2563000,0xdf,0,3,3
0x2541000,1336,0x2527000,0x2562000,0xfb,0,1,1
0x2541000,376,0x2527000,0x2563000,0xfb,0,2,2
0x2541000,1336,0x2527000,0x2563000,0xfb,0,2,2
0x254b000,2447,0x252d000,0x2568000,0x20,1,1,1
0x2555000,3224,0x2532000,0x2577000,0xfb,0,1,1
0x2555000,3224,0x2533000,0x2576000,0xfb,0,1,1
0x2555000,3224,0x2533000,0x2577000,0xfb,0,1,1
0x2567000,1968,0x2544000,0x2588000,0xef,0,1,1
0x2567000,1968,0x2544000,0x2589000,0xef,0,1,1
0x2566000,2318,0x2545000,0x2588000,0xbf,0,1,2
0x2567000,1968,0x2545000,0x2588000,0xef,0,1,2
0x2566000,474,0x2545000,0x2589000,0xdf,0,1,2
0x2567000,1968,0x2545000,0x2589000,0xef,0,1,2
0x2576000,2491,0x2555000,0x2599000,0xf7,0,1,1
0x2574000,2648,0x2556000,0x259a000,0xef,0,1,1
0x2574000,2648,0x2556000,0x259b000,0xef,0,1,3
0x2575000,2716,0x2556000,0x259b000,0xfd,0,2,3
0x2575000,4066,0x2556000,0x259b000,0xfd,0,2,3
0x2574000,2648,0x2557000,0x259a000,0xef,0,1,1
0x2574000,2648,0x2557000,0x259b000,0xef,0,1,1
0x257a000,3458,0x2559000,0x2595000,0xfe,0,1,1
0x257c000,2232,0x255e000,0x2593000,0x10,1,1,1
0x258e000,120,0x2560000,0x25ac000,0xef,0,1,1
0x258e000,120,0x2560000,0x25ad000,0xef,0,1,1
0x259c000,3339,0x2572000,0x25be000,0x10,1,1,1
0x2599000,3305,0x2576000,0x25ba000,0x8,1,1,1
0x2597000,1650,0x2579000,0x25b5000,0xbf,0,1,1
0x25ba000,3025,0x2599000,0x25dc000,0xbf,0,1,1
0x25c6000,1394,0x25a0000,0x25e4000,0xbf,0,1,2
0x25c7000,3738,0x25a0000,0x25e4000,0xfd,0,1,2
0x25cd000,3248,0x25aa000,0x25ef000,0xfb,0,1,1
0x25cd000,600,0x25ab000,0x25ee000,0xdf,0,2,2
0x25cd000,3248,0x25ab000,0x25ee000,0xfb,0,2,2
0x25cd000,3248,0x25ab000,0x25ef000,0xfb,0,1,1
0x25ca000,2752,0x25ac000,0x25e8000,0xfb,0,1,1
0x25ca000,2752,0x25ac000,0x25e9000,0xfb,0,1,1
0x25de000,1146,0x25b9000,0x25fc000,0xfe,0,2,2
0x25de000,2208,0x25b9000,0x25fc000,0x7f,0,2,2
0x25df000,1755,0x25b9000,0x25fd000,0xfe,0,1,1
0x25dd000,159,0x25ba000,0x25ff000,0xdf,0,1,1
0x2647000,2057,0x2620000,0x2664000,0x7f,0,1,1
0x2647000,2057,0x2621000,0x2664000,0x7f,0,2,2
0x2647000,3256,0x2621000,0x2664000,0xdf,0,2,2
0x2647000,2057,0x2621000,0x2665000,0x7f,0,1,1
0x2642000,778,0x2624000,0x2660000,0x2,1,2,3
0x2642000,1432,0x2624000,0x2660000,0x2,1,2,3
0x2643000,3432,0x2624000,0x2660000,0x10,1,1,3
0x2642000,1432,0x2625000,0x2661000,0x2,1,1,1
0x2641000,1746,0x2626000,0x2662000,0xdf,0,1,1
0x2667000,2297,0x2644000,0x2689000,0xfd,0,1,1
0x2664000,3128,0x2646000,0x268b000,0x20,1,1,2
0x2665000,2914,0x2646000,0x268b000,0x80,1,1,2
0x2664000,1800,0x2647000,0x268a000,0xef,0,1,2
0x2665000,1433,0x2647000,0x268a000,0xbf,0,1,2
0x2669000,2226,0x264b000,0x2686000,0xfe,0,1,1
0x2668000,802,0x264b000,0x2687000,0xdf,0,1,2
0x2669000,2226,0x264b000,0x2687000,0xfe,0,1,2
0x268b000,209,0x2665000,0x26a9000,0xfe,0,1,1
0x2689000,2428,0x2666000,0x26aa000,0xdf,0,1,1
0x2689000,2428,0x2666000,0x26ab000,0xdf,0,1,1
0x2689000,2428,0x2667000,0x26aa000,0xdf,0,1,1
0x2689000,2428,0x2667000,0x26ab000,0xdf,0,1,1
