base,offset,p,q,value,flip_to
0x1dc0000,434,0x1da6000,0x1de2000,0xfd,0
0x1dcc000,466,0x1daa000,0x1def000,0x8,1
0x1dcc000,618,0x1daa000,0x1def000,0x8,1
0x1dcd000,3318,0x1dab000,0x1dee000,0x7f,0
0x1dca000,304,0x1dac000,0x1de8000,0xfe,0
0x1dcb000,1008,0x1dac000,0x1de8000,0xfb,0
0x1dca000,1472,0x1dad000,0x1de8000,0x8,1
0x1dca000,304,0x1dad000,0x1de9000,0xfe,0
0x2223000,473,0x2200000,0x2244000,0xf7,0
0x2222000,2962,0x2200000,0x2245000,0xbf,0
0x2222000,3088,0x2200000,0x2245000,0xfd,0
0x2222000,2962,0x2201000,0x2245000,0xbf,0
0x2222000,3963,0x2201000,0x2245000,0xbf,0
0x2221000,3416,0x2202000,0x2246000,0xbf,0
0x2221000,4025,0x2202000,0x2246000,0xfd,0
0x2221000,4065,0x2202000,0x2246000,0xbf,0
0x2221000,2710,0x2202000,0x2246000,0x1,1
0x2221000,3497,0x2202000,0x2246000,0x80,1
0x2221000,3416,0x2202000,0x2247000,0xbf,0
0x2221000,4025,0x2202000,0x2247000,0xfd,0
0x2221000,4065,0x2202000,0x2247000,0xbf,0
0x2221000,2710,0x2202000,0x2247000,0x1,1
0x2221000,1930,0x2203000,0x2246000,0xfd,0
0x2221000,3416,0x2203000,0x2246000,0xbf,0
0x2221000,3600,0x2203000,0x2246000,0xef,0
0x2221000,4025,0x2203000,0x2246000,0xfd,0
0x2221000,4065,0x2203000,0x2246000,0xbf,0
0x2225000,1600,0x2207000,0x2243000,0xef,0
0x2225000,952,0x2207000,0x2243000,0x4,1
0x2232000,3200,0x2210000,0x2255000,0xef,0
0x2233000,2425,0x2210000,0x2255000,0x4,1
0x2232000,766,0x2211000,0x2254000,0xf7,0
0x2232000,3200,0x2211000,0x2254000,0xef,0
0x2232000,3794,0x2211000,0x2254000,0xbf,0
0x2233000,2078,0x2211000,0x2254000,0xef,0
0x2237000,1256,0x2214000,0x2250000,0x1,1
0x2236000,4008,0x2214000,0x2251000,0xef,0
0x2236000,1040,0x2214000,0x2251000,0x1,1
0x2237000,2682,0x2215000,0x2250000,0xef,0
0x2236000,4008,0x2215000,0x2251000,0xef,0
0x2237000,2682,0x2215000,0x2251000,0xef,0
0x2236000,1040,0x2215000,0x2251000,0x1,1
0x2237000,1256,0x2215000,0x2251000,0x1,1
0x2235000,2017,0x2216000,0x2252000,0xbf,0
0x2235000,376,0x2216000,0x2252000,0x4,1
0x2235000,376,0x2216000,0x2253000,0x4,1
0x223c000,3538,0x221f000,0x225b000,0xdf,0
0x2247000,4008,0x2220000,0x2265000,0xfe,0
