base,offset,p,q,value,flip_to
0x1d70000,1560,0x1d52000,0x1d9e000,0xbf,0
0x1d71000,632,0x1d52000,0x1d9e000,0xbf,0
0x1d71000,3482,0x1d52000,0x1d9e000,0xfd,0
0x1d71000,2777,0x1d52000,0x1d9e000,0x80,1
0x1d76000,1704,0x1d54000,0x1d99000,0xef,0
0x1d77000,1728,0x1d54000,0x1d99000,0xef,0
0x1d77000,1728,0x1d55000,0x1d98000,0xef,0
0x1d75000,1320,0x1d56000,0x1d9a000,0xfd,0
0x1d74000,256,0x1d56000,0x1d9a000,0x20,1
0x1d75000,2304,0x1d56000,0x1d9a000,0x4,1
0x1d75000,4057,0x1d56000,0x1d9a000,0x80,1
0x2270000,2196,0x2252000,0x229f000,0x1,1
0x2271000,912,0x2253000,0x229e000,0xfd,0
0x2271000,3808,0x2253000,0x229e000,0xbf,0
0x2270000,456,0x2253000,0x229e000,0x80,1
0x2271000,3952,0x2253000,0x229e000,0x20,1
0x2271000,912,0x2253000,0x229f000,0xfd,0
0x2271000,3808,0x2253000,0x229f000,0xbf,0
0x2274000,65,0x2257000,0x229a000,0xf7,0
0x227e000,2978,0x225c000,0x2291000,0x2,1
0x228f000,3464,0x2260000,0x22ac000,0x7f,0
0x228e000,1794,0x2260000,0x22ac000,0x8,1
0x228e000,3352,0x2260000,0x22ac000,0x10,1
0x228e000,80,0x2260000,0x22ad000,0x7f,0
0x228f000,3464,0x2260000,0x22ad000,0x7f,0
0x2288000,2548,0x2267000,0x22ab000,0x10,1
0x229f000,3810,0x2271000,0x22bd000,0xdf,0
0x229e000,1016,0x2271000,0x22bd000,0x40,1
0x229f000,2272,0x2271000,0x22bd000,0x2,1
0x229f000,2936,0x2271000,0x22bd000,0x40,1
0x22a4000,3656,0x2286000,0x22c2000,0xdf,0
0x22a4000,3656,0x2287000,0x22c2000,0xdf,0
0x22a4000,3656,0x2287000,0x22c3000,0xdf,0
0x22a5000,3196,0x2287000,0x22c3000,0xfb,0
0x22aa000,1672,0x2289000,0x22cd000,0xbf,0
0x22aa000,2610,0x2289000,0x22cd000,0xbf,0
0x22a8000,3042,0x228a000,0x22ce000,0xfd,0
0x22a8000,3042,0x228a000,0x22cf000,0xfd,0
0x22a8000,3042,0x228b000,0x22ce000,0xfd,0
0x22a8000,288,0x228b000,0x22ce000,0x20,1
0x22a8000,3042,0x228b000,0x22cf000,0xfd,0
0x22a9000,794,0x228b000,0x22cf000,0xef,0
0x22a9000,2088,0x228b000,0x22cf000,0xfd,0
0x22ad000,1754,0x228f000,0x22ca000,0xbf,0
0x22ac000,3976,0x228f000,0x22ca000,0x20,1
0x22ad000,2,0x228f000,0x22ca000,0x4,1
0x22ad000,1754,0x228f000,0x22cb000,0xbf,0
0x22c3000,194,0x22a5000,0x22e0000,0x4,1
0x22c3000,1779,0x22a5000,0x22e0000,0x20,1
0x22c3000,194,0x22a5000,0x22e1000,0x4,1
0x22cb000,99,0x22ac000,0x22e8000,0x7f,0
0x22c8000,1992,0x22ae000,0x22ea000,0xfb,0
0x22c9000,3673,0x22ae000,0x22ea000,0x2,1
0x22c8000,1992,0x22ae000,0x22eb000,0xfb,0
0x22c8000,1928,0x22af000,0x22eb000,0x7f,0
0x22c9000,3673,0x22af000,0x22eb000,0x2,1
0x22df000,3217,0x22b8000,0x22fd000,0xfb,0
0x22de000,368,0x22b9000,0x22fc000,0xfe,0
0x22de000,1968,0x22b9000,0x22fc000,0xfb,0
0x22de000,2059,0x22b9000,0x22fc000,0xfb,0
0x22df000,3080,0x22b9000,0x22fc000,0x2,1
0x22e8000,2616,0x22cb000,0x2316000,0xbf,0
0x22e8000,3227,0x22cb000,0x2316000,0x1,1
0x22e9000,360,0x22cb000,0x2316000,0x1,1
0x22e9000,1785,0x22cb000,0x2317000,0xef,0
0x22fd000,3706,0x22df000,0x2302000,0x80,1
0x2317000,2483,0x22e9000,0x2334000,0xdf,0
0x2307000,2864,0x22f8000,0x2324000,0xfb,0
0x2306000,3400,0x22f8000,0x2324000,0x8,1
0x2306000,3704,0x22f8000,0x2324000,0x40,1
0x2307000,2864,0x22f8000,0x2325000,0xfb,0
0x2307000,2864,0x22f9000,0x2325000,0xfb,0
0x2322000,3530,0x2300000,0x2344000,0xef,0
0x2323000,58,0x2300000,0x2344000,0xbf,0
0x2323000,2270,0x2300000,0x2344000,0xfd,0
0x2323000,2424,0x2300000,0x2344000,0xbf,0
0x2323000,3872,0x2300000,0x2344000,0x4,1
0x2321000,688,0x2303000,0x2346000,0xfd,0
0x2320000,288,0x2303000,0x2346000,0x20,1
0x2321000,688,0x2303000,0x2347000,0xfd,0
0x2320000,288,0x2303000,0x2347000,0x20,1
0x232d000,92,0x230e000,0x234b000,0xfb,0
0x232d000,92,0x230f000,0x234a000,0xfb,0
0x232d000,92,0x230f000,0x234b000,0xfb,0
0x2333000,3112,0x2310000,0x2355000,0xef,0
0x2333000,3112,0x2311000,0x2355000,0xef,0
0x2333000,4025,0x2311000,0x2355000,0x20,1
0x2333000,4074,0x2311000,0x2355000,0x80,1
0x2330000,209,0x2312000,0x2357000,0xfd,0
0x2331000,1200,0x2312000,0x2357000,0x20,1
0x2331000,2514,0x2313000,0x2356000,0xef,0
0x2331000,800,0x2313000,0x2356000,0x20,1
0x2331000,1200,0x2313000,0x2356000,0x20,1
0x2330000,209,0x2313000,0x2357000,0xfd,0
0x2331000,2514,0x2313000,0x2357000,0xef,0
0x2331000,1200,0x2313000,0x2357000,0x20,1
0x2336000,210,0x2314000,0x2350000,0xf7,0
0x2336000,1544,0x2314000,0x2350000,0xf7,0
0x2337000,2643,0x2314000,0x2350000,0xbf,0
0x2336000,2152,0x2314000,0x2350000,0x80,1
0x2336000,210,0x2314000,0x2351000,0xf7,0
0x2336000,1544,0x2314000,0x2351000,0xf7,0
0x2337000,2643,0x2314000,0x2351000,0xbf,0
0x2336000,2152,0x2314000,0x2351000,0x80,1
0x2336000,1544,0x2315000,0x2350000,0xf7,0
0x2336000,210,0x2315000,0x2351000,0xf7,0
0x2336000,1544,0x2315000,0x2351000,0xf7,0
0x2335000,1352,0x2316000,0x2352000,0xbf,0
0x2335000,1400,0x2316000,0x2352000,0xf7,0
0x2335000,1400,0x2317000,0x2353000,0xf7,0
0x2335000,3422,0x2317000,0x2353000,0x80,1
0x2338000,3874,0x231b000,0x235f000,0xfe,0
0x2339000,3265,0x231b000,0x235f000,0x10,1
0x2344000,1266,0x2323000,0x2367000,0x40,1
